Name,Age_Group,Gender,Geography,Education,Occupation,Caste,Voted_Party
Rekha Ansari,50-59,Female,Rural,Upto 9th,Labour,SC,MGB
Priyanka Paswan,30-39,Female,Rural,10th Pass,Skilled Professional,General,MGB
Abdul Choudhary,60-69,Male,Rural,Post-Graduate,Skilled Professional,Muslim,MGB
Deepak Ansari,40-49,Male,Rural,Upto 9th,Skilled Professional,OBC,NDA
Manju Choudhary,20-29,Female,Rural,Upto 9th,Farmer,OBC,Others
Kavita Paswan,30-39,Female,Rural,Not Gone to School,Housewife,OBC,NDA
Sanjay Khatoon,30-39,Male,Urban,10th Pass,Student,General,NDA
Sanjay Khatoon,40-49,Male,Urban,10th Pass,Unemployed,Muslim,MGB
Mukesh Manjhi,20-29,Male,Rural,12th Pass,Housewife,OBC,NDA
Pooja Singh,30-39,Female,Rural,Not Gone to School,Housewife,General,NDA
Mohammad Singh,20-29,Male,Rural,10th Pass,Housewife,Muslim,MGB
Vikash Yadav,20-29,Male,Rural,Not Gone to School,Self Occupation & Small Shop,General,MGB
Aisha Singh,60-69,Female,Urban,Upto 9th,Labour,General,NDA
Amit Choudhary,70 & Above,Male,Rural,Graduate,Housewife,General,NDA
Priyanka Kumar,40-49,Female,Rural,Not Gone to School,Labour,EBC,NDA
Priyanka Sharma,60-69,Female,Rural,Upto 9th,Farmer,General,Others
Mukesh Yadav,30-39,Male,Urban,Not Gone to School,Skilled Professional,EBC,NDA
Priyanka Khatoon,40-49,Female,Rural,Graduate,Housewife,General,NDA
Amit Ansari,40-49,Male,Rural,Professional Education,Farmer,EBC,NDA
Rekha Ali,60-69,Female,Rural,Graduate,Labour,Muslim,NDA
Sanjay Yadav,20-29,Male,Rural,Not Gone to School,Others,EBC,MGB
Abdul Ansari,40-49,Male,Rural,Upto 9th,Self Occupation & Small Shop,Yadav,MGB
Rahul Khatoon,50-59,Male,Rural,12th Pass,Others,EBC,NDA
Kavita Kumar,30-39,Female,Rural,Graduate,Unemployed,Muslim,MGB
Aisha Sharma,30-39,Female,Rural,12th Pass,Labour,SC,Others
Vikash Mishra,40-49,Male,Rural,Not Gone to School,Student,EBC,NDA
Rekha Yadav,40-49,Female,Rural,Upto 9th,Farmer,SC,MGB
Rajeev Choudhary,30-39,Male,Rural,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Fatima Singh,20-29,Female,Rural,Graduate,Housewife,Muslim,MGB
Kavita Yadav,20-29,Female,Rural,12th Pass,Skilled Professional,Muslim,MGB
Rahul Sharma,60-69,Male,Urban,Upto 9th,Housewife,SC,NDA
Amit Sharma,40-49,Male,Rural,Upto 9th,Housewife,EBC,NDA
Ranjeet Sharma,20-29,Male,Urban,Upto 9th,Farmer,Muslim,MGB
Vikash Ali,30-39,Male,Rural,Not Gone to School,Pvt. Service,General,NDA
Rajeev Ali,30-39,Male,Rural,Upto 9th,Skilled Professional,Yadav,Others
Rahul Sharma,60-69,Male,Rural,Upto 9th,Pvt. Service,General,NDA
Mohammad Kumar,70 & Above,Male,Rural,12th Pass,Farmer,Yadav,MGB
Priyanka Kumar,20-29,Female,Rural,10th Pass,Housewife,EBC,NDA
Vikash Sharma,50-59,Male,Urban,Graduate,Housewife,OBC,NDA
Anita Singh,40-49,Female,Rural,12th Pass,Housewife,Muslim,Others
Ranjeet Singh,40-49,Male,Rural,Not Gone to School,Unemployed,General,NDA
Mohammad Kumar,30-39,Male,Rural,Upto 9th,Labour,OBC,Others
Sunita Yadav,20-29,Female,Rural,10th Pass,Housewife,OBC,NDA
Deepak Singh,70 & Above,Male,Rural,10th Pass,Labour,EBC,NDA
Vikash Sharma,70 & Above,Male,Rural,Upto 9th,Others,EBC,Others
Ranjeet Mishra,30-39,Male,Rural,Graduate,Farmer,EBC,NDA
Priyanka Sharma,30-39,Female,Rural,Upto 9th,Labour,Yadav,MGB
Sanjay Singh,60-69,Male,Rural,Not Gone to School,Housewife,OBC,MGB
